Date (LT),Site,Parameter,Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
2020-02-03 16:00:00,Abidjan,PM2.5 - Principal,2020,2,3,16,-999.0,-999,,0.0,UG/M3,1 Hr,Valid
2020-02-03 17:00:00,Abidjan,PM2.5 - Principal,2020,2,3,17,0.6,3,Good,1.0,UG/M3,1 Hr,Valid
2020-02-03 18:00:00,Abidjan,PM2.5 - Principal,2020,2,3,18,0.6,3,Good,-6.0,UG/M3,1 Hr,Invalid
2020-02-03 19:00:00,Abidjan,PM2.5 - Principal,2020,2,3,19,0.6,3,Good,-8.0,UG/M3,1 Hr,Invalid
2020-02-03 20:00:00,Abidjan,PM2.5 - Principal,2020,2,3,20,0.6,3,Good,-10.0,UG/M3,1 Hr,Invalid
2020-02-03 21:00:00,Abidjan,PM2.5 - Principal,2020,2,3,21,0.6,3,Good,-6.0,UG/M3,1 Hr,Invalid
2020-02-03 22:00:00,Abidjan,PM2.5 - Principal,2020,2,3,22,-999.0,-999,,-5.0,UG/M3,1 Hr,Invalid
2020-02-03 23:00:00,Abidjan,PM2.5 - Principal,2020,2,3,23,-999.0,-999,,-7.0,UG/M3,1 Hr,Invalid
2020-02-04 00:00:00,Abidjan,PM2.5 - Principal,2020,2,4,0,-999.0,-999,,-6.0,UG/M3,1 Hr,Invalid
2020-02-04 01:00:00,Abidjan,PM2.5 - Principal,2020,2,4,1,-999.0,-999,,-6.0,UG/M3,1 Hr,Invalid
2020-02-04 02:00:00,Abidjan,PM2.5 - Principal,2020,2,4,2,-999.0,-999,,-6.0,UG/M3,1 Hr,Invalid
2020-02-04 03:00:00,Abidjan,PM2.5 - Principal,2020,2,4,3,-999.0,-999,,-7.0,UG/M3,1 Hr,Invalid
2020-02-04 04:00:00,Abidjan,PM2.5 - Principal,2020,2,4,4,-999.0,-999,,-6.0,UG/M3,1 Hr,Invalid
2020-02-04 05:00:00,Abidjan,PM2.5 - Principal,2020,2,4,5,-999.0,-999,,-7.0,UG/M3,1 Hr,Invalid
2020-02-04 06:00:00,Abidjan,PM2.5 - Principal,2020,2,4,6,-999.0,-999,,-7.0,UG/M3,1 Hr,Invalid
2020-02-04 07:00:00,Abidjan,PM2.5 - Principal,2020,2,4,7,-999.0,-999,,-5.0,UG/M3,1 Hr,Invalid
2020-02-04 08:00:00,Abidjan,PM2.5 - Principal,2020,2,4,8,-999.0,-999,,-6.0,UG/M3,1 Hr,Invalid
2020-02-04 09:00:00,Abidjan,PM2.5 - Principal,2020,2,4,9,-999.0,-999,,-5.0,UG/M3,1 Hr,Invalid
2020-02-04 10:00:00,Abidjan,PM2.5 - Principal,2020,2,4,10,-999.0,-999,,-1.0,UG/M3,1 Hr,Valid
2020-02-04 11:00:00,Abidjan,PM2.5 - Principal,2020,2,4,11,1.6,7,Good,3.0,UG/M3,1 Hr,Valid
2020-02-04 12:00:00,Abidjan,PM2.5 - Principal,2020,2,4,12,0.7,3,Good,0.0,UG/M3,1 Hr,Valid
2020-02-04 13:00:00,Abidjan,PM2.5 - Principal,2020,2,4,13,0.7,3,Good,-5.0,UG/M3,1 Hr,Invalid
2020-02-04 14:00:00,Abidjan,PM2.5 - Principal,2020,2,4,14,0.0,0,Good,-4.0,UG/M3,1 Hr,Valid
2020-02-04 15:00:00,Abidjan,PM2.5 - Principal,2020,2,4,15,0.0,0,Good,-5.0,UG/M3,1 Hr,Invalid
2020-02-04 16:00:00,Abidjan,PM2.5 - Principal,2020,2,4,16,0.0,0,Good,-9.0,UG/M3,1 Hr,Invalid
2020-02-04 17:00:00,Abidjan,PM2.5 - Principal,2020,2,4,17,0.0,0,Good,-999.0,UG/M3,1 Hr,Missing
2020-02-04 18:00:00,Abidjan,PM2.5 - Principal,2020,2,4,18,-999.0,-999,,-6.0,UG/M3,1 Hr,Invalid
2020-02-04 19:00:00,Abidjan,PM2.5 - Principal,2020,2,4,19,-999.0,-999,,-5.0,UG/M3,1 Hr,Invalid
2020-02-04 20:00:00,Abidjan,PM2.5 - Principal,2020,2,4,20,-999.0,-999,,-5.0,UG/M3,1 Hr,Invalid
2020-02-04 21:00:00,Abidjan,PM2.5 - Principal,2020,2,4,21,-999.0,-999,,-5.0,UG/M3,1 Hr,Invalid
2020-02-04 22:00:00,Abidjan,PM2.5 - Principal,2020,2,4,22,-999.0,-999,,-4.0,UG/M3,1 Hr,Valid
2020-02-04 23:00:00,Abidjan,PM2.5 - Principal,2020,2,4,23,0.0,0,Good,-3.0,UG/M3,1 Hr,Valid
2020-02-05 00:00:00,Abidjan,PM2.5 - Principal,2020,2,5,0,0.0,0,Good,-2.0,UG/M3,1 Hr,Valid
2020-02-05 01:00:00,Abidjan,PM2.5 - Principal,2020,2,5,1,0.0,0,Good,-5.0,UG/M3,1 Hr,Invalid
2020-02-05 02:00:00,Abidjan,PM2.5 - Principal,2020,2,5,2,0.0,0,Good,-6.0,UG/M3,1 Hr,Invalid
