Date (LT),Site,Parameter,Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
2020-01-01 01:00:00,Beijing,O3,2020,1,1,1,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-01 02:00:00,Beijing,O3,2020,1,1,2,4.0,4,Good,4.0,PPB,1 Hr,Valid
2020-01-01 03:00:00,Beijing,O3,2020,1,1,3,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-01 04:00:00,Beijing,O3,2020,1,1,4,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-01 05:00:00,Beijing,O3,2020,1,1,5,4.0,4,Good,4.0,PPB,1 Hr,Valid
2020-01-01 06:00:00,Beijing,O3,2020,1,1,6,5.0,5,Good,4.0,PPB,1 Hr,Valid
2020-01-01 07:00:00,Beijing,O3,2020,1,1,7,5.0,5,Good,-999.0,PPB,1 Hr,Missing
2020-01-01 08:00:00,Beijing,O3,2020,1,1,8,5.0,5,Good,4.0,PPB,1 Hr,Valid
2020-01-01 09:00:00,Beijing,O3,2020,1,1,9,7.0,6,Good,6.0,PPB,1 Hr,Valid
2020-01-01 10:00:00,Beijing,O3,2020,1,1,10,9.0,8,Good,9.0,PPB,1 Hr,Valid
2020-01-01 11:00:00,Beijing,O3,2020,1,1,11,10.0,9,Good,13.0,PPB,1 Hr,Valid
2020-01-01 12:00:00,Beijing,O3,2020,1,1,12,10.0,9,Good,16.0,PPB,1 Hr,Valid
2020-01-01 13:00:00,Beijing,O3,2020,1,1,13,12.0,11,Good,18.0,PPB,1 Hr,Valid
2020-01-01 14:00:00,Beijing,O3,2020,1,1,14,14.0,13,Good,17.0,PPB,1 Hr,Valid
2020-01-01 15:00:00,Beijing,O3,2020,1,1,15,16.0,15,Good,18.0,PPB,1 Hr,Valid
2020-01-01 16:00:00,Beijing,O3,2020,1,1,16,16.0,15,Good,18.0,PPB,1 Hr,Valid
2020-01-01 17:00:00,Beijing,O3,2020,1,1,17,14.0,13,Good,12.0,PPB,1 Hr,Valid
2020-01-01 18:00:00,Beijing,O3,2020,1,1,18,10.0,9,Good,5.0,PPB,1 Hr,Valid
2020-01-01 19:00:00,Beijing,O3,2020,1,1,19,10.0,9,Good,4.0,PPB,1 Hr,Valid
2020-01-01 20:00:00,Beijing,O3,2020,1,1,20,7.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-01 21:00:00,Beijing,O3,2020,1,1,21,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-01 22:00:00,Beijing,O3,2020,1,1,22,4.0,4,Good,5.0,PPB,1 Hr,Valid
2020-01-01 23:00:00,Beijing,O3,2020,1,1,23,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-02 00:00:00,Beijing,O3,2020,1,2,0,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-02 01:00:00,Beijing,O3,2020,1,2,1,6.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-02 02:00:00,Beijing,O3,2020,1,2,2,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-02 03:00:00,Beijing,O3,2020,1,2,3,6.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-02 04:00:00,Beijing,O3,2020,1,2,4,6.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-02 05:00:00,Beijing,O3,2020,1,2,5,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-02 06:00:00,Beijing,O3,2020,1,2,6,4.0,4,Good,4.0,PPB,1 Hr,Valid
2020-01-02 07:00:00,Beijing,O3,2020,1,2,7,3.0,3,Good,4.0,PPB,1 Hr,Valid
2020-01-02 08:00:00,Beijing,O3,2020,1,2,8,5.0,5,Good,4.0,PPB,1 Hr,Valid
2020-01-02 09:00:00,Beijing,O3,2020,1,2,9,7.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-02 10:00:00,Beijing,O3,2020,1,2,10,8.0,7,Good,6.0,PPB,1 Hr,Valid
2020-01-02 11:00:00,Beijing,O3,2020,1,2,11,6.0,6,Good,7.0,PPB,1 Hr,Valid
2020-01-02 12:00:00,Beijing,O3,2020,1,2,12,7.0,6,Good,8.0,PPB,1 Hr,Valid
2020-01-02 13:00:00,Beijing,O3,2020,1,2,13,10.0,9,Good,15.0,PPB,1 Hr,Valid
2020-01-02 14:00:00,Beijing,O3,2020,1,2,14,15.0,14,Good,20.0,PPB,1 Hr,Valid
2020-01-02 15:00:00,Beijing,O3,2020,1,2,15,17.0,16,Good,21.0,PPB,1 Hr,Valid
2020-01-02 16:00:00,Beijing,O3,2020,1,2,16,15.0,14,Good,15.0,PPB,1 Hr,Valid
2020-01-02 17:00:00,Beijing,O3,2020,1,2,17,12.0,11,Good,7.0,PPB,1 Hr,Valid
2020-01-02 18:00:00,Beijing,O3,2020,1,2,18,10.0,9,Good,5.0,PPB,1 Hr,Valid
2020-01-02 19:00:00,Beijing,O3,2020,1,2,19,9.0,8,Good,5.0,PPB,1 Hr,Valid
2020-01-02 20:00:00,Beijing,O3,2020,1,2,20,8.0,7,Good,5.0,PPB,1 Hr,Valid
2020-01-02 21:00:00,Beijing,O3,2020,1,2,21,6.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-02 22:00:00,Beijing,O3,2020,1,2,22,7.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-02 23:00:00,Beijing,O3,2020,1,2,23,7.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-03 00:00:00,Beijing,O3,2020,1,3,0,7.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-03 01:00:00,Beijing,O3,2020,1,3,1,6.0,6,Good,5.0,PPB,1 Hr,Valid
2020-01-03 02:00:00,Beijing,O3,2020,1,3,2,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-03 03:00:00,Beijing,O3,2020,1,3,3,5.0,5,Good,5.0,PPB,1 Hr,Valid
2020-01-03 04:00:00,Beijing,O3,2020,1,3,4,4.0,4,Good,4.0,PPB,1 Hr,Valid
2020-01-03 05:00:00,Beijing,O3,2020,1,3,5,4.0,4,Good,4.0,PPB,1 Hr,Valid
2020-01-03 06:00:00,Beijing,O3,2020,1,3,6,5.0,5,Good,4.0,PPB,1 Hr,Valid
2020-01-03 07:00:00,Beijing,O3,2020,1,3,7,5.0,5,Good,4.0,PPB,1 Hr,Valid
2020-01-03 08:00:00,Beijing,O3,2020,1,3,8,5.0,5,Good,4.0,PPB,1 Hr,Valid
