Date (LT),Site,Parameter,Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
2020-01-01 01:00:00,Beijing,PM2.5 - Principal,2020,1,1,1,35.3,100,Moderate,32.0,UG/M3,1 Hr,Valid
2020-01-01 02:00:00,Beijing,PM2.5 - Principal,2020,1,1,2,30.5,90,Moderate,25.0,UG/M3,1 Hr,Valid
2020-01-01 03:00:00,Beijing,PM2.5 - Principal,2020,1,1,3,27.0,82,Moderate,23.0,UG/M3,1 Hr,Valid
2020-01-01 04:00:00,Beijing,PM2.5 - Principal,2020,1,1,4,26.0,80,Moderate,25.0,UG/M3,1 Hr,Valid
2020-01-01 05:00:00,Beijing,PM2.5 - Principal,2020,1,1,5,23.9,76,Moderate,22.0,UG/M3,1 Hr,Valid
2020-01-01 06:00:00,Beijing,PM2.5 - Principal,2020,1,1,6,24.4,77,Moderate,25.0,UG/M3,1 Hr,Valid
2020-01-01 07:00:00,Beijing,PM2.5 - Principal,2020,1,1,7,24.7,77,Moderate,25.0,UG/M3,1 Hr,Valid
2020-01-01 08:00:00,Beijing,PM2.5 - Principal,2020,1,1,8,24.3,77,Moderate,24.0,UG/M3,1 Hr,Valid
2020-01-01 09:00:00,Beijing,PM2.5 - Principal,2020,1,1,9,22.6,73,Moderate,21.0,UG/M3,1 Hr,Valid
2020-01-01 10:00:00,Beijing,PM2.5 - Principal,2020,1,1,10,21.8,71,Moderate,21.0,UG/M3,1 Hr,Valid
2020-01-01 11:00:00,Beijing,PM2.5 - Principal,2020,1,1,11,22.5,73,Moderate,23.0,UG/M3,1 Hr,Valid
2020-01-01 12:00:00,Beijing,PM2.5 - Principal,2020,1,1,12,22.7,73,Moderate,23.0,UG/M3,1 Hr,Valid
2020-01-01 13:00:00,Beijing,PM2.5 - Principal,2020,1,1,13,25.9,80,Moderate,32.0,UG/M3,1 Hr,Valid
2020-01-01 14:00:00,Beijing,PM2.5 - Principal,2020,1,1,14,32.5,94,Moderate,39.0,UG/M3,1 Hr,Valid
2020-01-01 15:00:00,Beijing,PM2.5 - Principal,2020,1,1,15,33.6,96,Moderate,35.0,UG/M3,1 Hr,Valid
2020-01-01 16:00:00,Beijing,PM2.5 - Principal,2020,1,1,16,31.9,93,Moderate,30.0,UG/M3,1 Hr,Valid
2020-01-01 17:00:00,Beijing,PM2.5 - Principal,2020,1,1,17,34.3,98,Moderate,37.0,UG/M3,1 Hr,Valid
2020-01-01 18:00:00,Beijing,PM2.5 - Principal,2020,1,1,18,35.5,101,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
2020-01-01 19:00:00,Beijing,PM2.5 - Principal,2020,1,1,19,36.6,104,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
2020-01-01 20:00:00,Beijing,PM2.5 - Principal,2020,1,1,20,40.9,114,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
2020-01-01 21:00:00,Beijing,PM2.5 - Principal,2020,1,1,21,43.4,120,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
2020-01-01 22:00:00,Beijing,PM2.5 - Principal,2020,1,1,22,45.7,126,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
2020-01-01 23:00:00,Beijing,PM2.5 - Principal,2020,1,1,23,48.8,134,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
2020-01-02 00:00:00,Beijing,PM2.5 - Principal,2020,1,2,0,52.5,143,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
2020-01-02 01:00:00,Beijing,PM2.5 - Principal,2020,1,2,1,56.4,151,Unhealthy,60.0,UG/M3,1 Hr,Valid
2020-01-02 02:00:00,Beijing,PM2.5 - Principal,2020,1,2,2,58.2,152,Unhealthy,60.0,UG/M3,1 Hr,Valid
2020-01-02 03:00:00,Beijing,PM2.5 - Principal,2020,1,2,3,58.1,152,Unhealthy,58.0,UG/M3,1 Hr,Valid
2020-01-02 04:00:00,Beijing,PM2.5 - Principal,2020,1,2,4,55.9,151,Unhealthy,54.0,UG/M3,1 Hr,Valid
2020-01-02 05:00:00,Beijing,PM2.5 - Principal,2020,1,2,5,51.4,140,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
2020-01-02 06:00:00,Beijing,PM2.5 - Principal,2020,1,2,6,46.9,129,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
2020-01-02 07:00:00,Beijing,PM2.5 - Principal,2020,1,2,7,39.8,112,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
