Date (LT),Site,Parameter,Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
2020-01-02 11:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,11,-999.0,-999,,50.0,UG/M3,1 Hr,Valid
2020-01-02 12:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,12,47.3,130,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
2020-01-02 13:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,13,49.1,134,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
2020-01-02 14:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,14,49.6,136,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
2020-01-02 15:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,15,49.2,135,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
2020-01-02 16:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,16,46.5,128,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
2020-01-02 17:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,17,45.0,124,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
2020-01-02 18:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,18,42.2,117,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
2020-01-02 19:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,19,40.0,112,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
2020-01-02 20:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,20,40.0,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
2020-01-02 21:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,21,43.1,120,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
2020-01-02 22:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,22,47.9,132,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
2020-01-02 23:00:00,Guangzhou,PM2.5 - Principal,2020,1,2,23,54.4,148,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
2020-01-03 00:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,0,60.1,153,Unhealthy,66.0,UG/M3,1 Hr,Valid
2020-01-03 01:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,1,67.5,157,Unhealthy,74.0,UG/M3,1 Hr,Valid
2020-01-03 02:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,2,66.7,157,Unhealthy,66.0,UG/M3,1 Hr,Valid
2020-01-03 03:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,3,69.3,158,Unhealthy,72.0,UG/M3,1 Hr,Valid
2020-01-03 04:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,4,70.1,159,Unhealthy,71.0,UG/M3,1 Hr,Valid
2020-01-03 05:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,5,70.1,159,Unhealthy,70.0,UG/M3,1 Hr,Valid
2020-01-03 06:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,6,66.5,157,Unhealthy,63.0,UG/M3,1 Hr,Valid
2020-01-03 07:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,7,64.1,155,Unhealthy,61.0,UG/M3,1 Hr,Valid
2020-01-03 08:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,8,64.4,156,Unhealthy,63.0,UG/M3,1 Hr,Valid
2020-01-03 09:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,9,64.8,156,Unhealthy,64.0,UG/M3,1 Hr,Valid
2020-01-03 10:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,10,66.1,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
2020-01-03 11:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,11,65.2,156,Unhealthy,61.0,UG/M3,1 Hr,Valid
2020-01-03 12:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,12,60.1,153,Unhealthy,51.0,UG/M3,1 Hr,Valid
2020-01-03 13:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,13,54.5,148,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
2020-01-03 14:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,14,52.1,142,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
2020-01-03 15:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,15,50.0,137,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
2020-01-03 16:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,16,48.1,132,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
2020-01-03 17:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,17,47.7,131,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
2020-01-03 18:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,18,47.1,130,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
2020-01-03 19:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,19,39.6,111,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
2020-01-03 20:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,20,48.3,133,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
2020-01-03 21:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,21,62.6,155,Unhealthy,77.0,UG/M3,1 Hr,Valid
2020-01-03 22:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,22,72.8,160,Unhealthy,83.0,UG/M3,1 Hr,Valid
2020-01-03 23:00:00,Guangzhou,PM2.5 - Principal,2020,1,3,23,79.4,163,Unhealthy,86.0,UG/M3,1 Hr,Valid
2020-01-04 00:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,0,88.7,168,Unhealthy,98.0,UG/M3,1 Hr,Valid
2020-01-04 01:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,1,94.8,171,Unhealthy,101.0,UG/M3,1 Hr,Valid
2020-01-04 02:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,2,95.9,172,Unhealthy,97.0,UG/M3,1 Hr,Valid
2020-01-04 03:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,3,95.9,172,Unhealthy,96.0,UG/M3,1 Hr,Valid
2020-01-04 04:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,4,91.9,170,Unhealthy,88.0,UG/M3,1 Hr,Valid
2020-01-04 05:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,5,91.0,169,Unhealthy,90.0,UG/M3,1 Hr,Valid
2020-01-04 06:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,6,87.5,168,Unhealthy,84.0,UG/M3,1 Hr,Valid
2020-01-04 07:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,7,85.0,166,Unhealthy,81.0,UG/M3,1 Hr,Valid
2020-01-04 08:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,8,87.7,168,Unhealthy,88.0,UG/M3,1 Hr,Valid
2020-01-04 09:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,9,88.4,168,Unhealthy,89.0,UG/M3,1 Hr,Valid
2020-01-04 10:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,10,91.7,170,Unhealthy,103.0,UG/M3,1 Hr,Valid
2020-01-04 11:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,11,107.2,178,Unhealthy,130.0,UG/M3,1 Hr,Valid
2020-01-04 12:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,12,133.0,191,Unhealthy,156.0,UG/M3,1 Hr,Valid
2020-01-04 13:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,13,140.2,195,Unhealthy,148.0,UG/M3,1 Hr,Valid
2020-01-04 14:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,14,125.2,187,Unhealthy,109.0,UG/M3,1 Hr,Valid
2020-01-04 15:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,15,115.9,182,Unhealthy,106.0,UG/M3,1 Hr,Valid
2020-01-04 16:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,16,107.8,178,Unhealthy,99.0,UG/M3,1 Hr,Valid
2020-01-04 17:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,17,94.9,171,Unhealthy,81.0,UG/M3,1 Hr,Valid
2020-01-04 18:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,18,89.6,169,Unhealthy,84.0,UG/M3,1 Hr,Valid
2020-01-04 19:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,19,80.5,164,Unhealthy,72.0,UG/M3,1 Hr,Valid
2020-01-04 20:00:00,Guangzhou,PM2.5 - Principal,2020,1,4,20,79.7,163,Unhealthy,79.0,UG/M3,1 Hr,Valid
