Date (LT),Site,Parameter,Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
2017-01-01 01:00:00,Hanoi,PM2.5 - Principal,2017,1,1,1,175.2,225,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
2017-01-01 02:00:00,Hanoi,PM2.5 - Principal,2017,1,1,2,177.4,228,Very Unhealthy,181.3,UG/M3,1 Hr,Valid
2017-01-01 03:00:00,Hanoi,PM2.5 - Principal,2017,1,1,3,199.7,250,Very Unhealthy,221.9,UG/M3,1 Hr,Valid
2017-01-01 04:00:00,Hanoi,PM2.5 - Principal,2017,1,1,4,223.7,274,Very Unhealthy,246.6,UG/M3,1 Hr,Valid
2017-01-01 05:00:00,Hanoi,PM2.5 - Principal,2017,1,1,5,215.2,265,Very Unhealthy,207.0,UG/M3,1 Hr,Valid
2017-01-01 06:00:00,Hanoi,PM2.5 - Principal,2017,1,1,6,209.9,260,Very Unhealthy,205.0,UG/M3,1 Hr,Valid
2017-01-01 07:00:00,Hanoi,PM2.5 - Principal,2017,1,1,7,151.5,202,Very Unhealthy,92.8,UG/M3,1 Hr,Valid
2017-01-01 08:00:00,Hanoi,PM2.5 - Principal,2017,1,1,8,134.5,192,Unhealthy,117.5,UG/M3,1 Hr,Valid
2017-01-01 09:00:00,Hanoi,PM2.5 - Principal,2017,1,1,9,133.7,191,Unhealthy,133.0,UG/M3,1 Hr,Valid
2017-01-01 10:00:00,Hanoi,PM2.5 - Principal,2017,1,1,10,133.2,191,Unhealthy,132.6,UG/M3,1 Hr,Valid
2017-01-01 11:00:00,Hanoi,PM2.5 - Principal,2017,1,1,11,128.2,189,Unhealthy,123.3,UG/M3,1 Hr,Valid
2017-01-01 12:00:00,Hanoi,PM2.5 - Principal,2017,1,1,12,130.3,190,Unhealthy,132.5,UG/M3,1 Hr,Valid
2017-01-01 13:00:00,Hanoi,PM2.5 - Principal,2017,1,1,13,138.2,194,Unhealthy,146.2,UG/M3,1 Hr,Valid
2017-01-01 14:00:00,Hanoi,PM2.5 - Principal,2017,1,1,14,131.5,190,Unhealthy,124.7,UG/M3,1 Hr,Valid
2017-01-01 15:00:00,Hanoi,PM2.5 - Principal,2017,1,1,15,138.3,194,Unhealthy,145.1,UG/M3,1 Hr,Valid
2017-01-01 16:00:00,Hanoi,PM2.5 - Principal,2017,1,1,16,129.5,189,Unhealthy,120.7,UG/M3,1 Hr,Valid
2017-01-01 17:00:00,Hanoi,PM2.5 - Principal,2017,1,1,17,107.6,178,Unhealthy,85.8,UG/M3,1 Hr,Valid
2017-01-01 18:00:00,Hanoi,PM2.5 - Principal,2017,1,1,18,98.0,173,Unhealthy,81.9,UG/M3,1 Hr,Valid
2017-01-01 19:00:00,Hanoi,PM2.5 - Principal,2017,1,1,19,90.4,169,Unhealthy,81.3,UG/M3,1 Hr,Valid
2017-01-01 20:00:00,Hanoi,PM2.5 - Principal,2017,1,1,20,90.2,169,Unhealthy,90.0,UG/M3,1 Hr,Valid
2017-01-01 21:00:00,Hanoi,PM2.5 - Principal,2017,1,1,21,91.0,169,Unhealthy,92.1,UG/M3,1 Hr,Valid
2017-01-01 22:00:00,Hanoi,PM2.5 - Principal,2017,1,1,22,92.6,170,Unhealthy,94.5,UG/M3,1 Hr,Valid
