Date (LT),Site,Parameter,Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
2020-07-01 01:00:00,Hanoi,PM2.5 - Principal,2020,7,1,1,35.3,100,Moderate,37.0,UG/M3,1 Hr,Valid
2020-07-01 02:00:00,Hanoi,PM2.5 - Principal,2020,7,1,2,39.4,111,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
2020-07-01 03:00:00,Hanoi,PM2.5 - Principal,2020,7,1,3,39.9,112,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
2020-07-01 04:00:00,Hanoi,PM2.5 - Principal,2020,7,1,4,40.6,114,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
2020-07-01 05:00:00,Hanoi,PM2.5 - Principal,2020,7,1,5,42.1,117,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
2020-07-01 06:00:00,Hanoi,PM2.5 - Principal,2020,7,1,6,40.0,112,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
2020-07-01 07:00:00,Hanoi,PM2.5 - Principal,2020,7,1,7,38.0,107,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
2020-07-01 08:00:00,Hanoi,PM2.5 - Principal,2020,7,1,8,30.4,89,Moderate,24.0,UG/M3,1 Hr,Valid
2020-07-01 09:00:00,Hanoi,PM2.5 - Principal,2020,7,1,9,28.7,86,Moderate,27.0,UG/M3,1 Hr,Valid
2020-07-01 10:00:00,Hanoi,PM2.5 - Principal,2020,7,1,10,26.3,81,Moderate,24.0,UG/M3,1 Hr,Valid
2020-07-01 11:00:00,Hanoi,PM2.5 - Principal,2020,7,1,11,25.6,79,Moderate,25.0,UG/M3,1 Hr,Valid
2020-07-01 12:00:00,Hanoi,PM2.5 - Principal,2020,7,1,12,26.3,81,Moderate,27.0,UG/M3,1 Hr,Valid
2020-07-01 13:00:00,Hanoi,PM2.5 - Principal,2020,7,1,13,29.1,87,Moderate,32.0,UG/M3,1 Hr,Valid
2020-07-01 14:00:00,Hanoi,PM2.5 - Principal,2020,7,1,14,29.4,87,Moderate,30.0,UG/M3,1 Hr,Valid
2020-07-01 15:00:00,Hanoi,PM2.5 - Principal,2020,7,1,15,25.7,80,Moderate,22.0,UG/M3,1 Hr,Valid
2020-07-01 16:00:00,Hanoi,PM2.5 - Principal,2020,7,1,16,23.3,75,Moderate,21.0,UG/M3,1 Hr,Valid
2020-07-01 17:00:00,Hanoi,PM2.5 - Principal,2020,7,1,17,28.1,85,Moderate,34.0,UG/M3,1 Hr,Valid
2020-07-01 18:00:00,Hanoi,PM2.5 - Principal,2020,7,1,18,38.8,109,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
2020-07-01 19:00:00,Hanoi,PM2.5 - Principal,2020,7,1,19,33.4,96,Moderate,28.0,UG/M3,1 Hr,Valid
2020-07-01 20:00:00,Hanoi,PM2.5 - Principal,2020,7,1,20,29.7,88,Moderate,26.0,UG/M3,1 Hr,Valid
2020-07-01 21:00:00,Hanoi,PM2.5 - Principal,2020,7,1,21,28.3,85,Moderate,27.0,UG/M3,1 Hr,Valid
2020-07-01 22:00:00,Hanoi,PM2.5 - Principal,2020,7,1,22,24.6,77,Moderate,21.0,UG/M3,1 Hr,Valid
2020-07-01 23:00:00,Hanoi,PM2.5 - Principal,2020,7,1,23,22.8,74,Moderate,21.0,UG/M3,1 Hr,Valid
2020-07-02 00:00:00,Hanoi,PM2.5 - Principal,2020,7,2,0,27.4,83,Moderate,32.0,UG/M3,1 Hr,Valid
2020-07-02 01:00:00,Hanoi,PM2.5 - Principal,2020,7,2,1,27.7,84,Moderate,28.0,UG/M3,1 Hr,Valid
2020-07-02 02:00:00,Hanoi,PM2.5 - Principal,2020,7,2,2,27.3,83,Moderate,27.0,UG/M3,1 Hr,Valid
2020-07-02 03:00:00,Hanoi,PM2.5 - Principal,2020,7,2,3,26.6,81,Moderate,26.0,UG/M3,1 Hr,Valid
2020-07-02 04:00:00,Hanoi,PM2.5 - Principal,2020,7,2,4,30.8,90,Moderate,35.0,UG/M3,1 Hr,Valid
2020-07-02 05:00:00,Hanoi,PM2.5 - Principal,2020,7,2,5,36.9,104,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
2020-07-02 06:00:00,Hanoi,PM2.5 - Principal,2020,7,2,6,43.4,120,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
2020-07-02 07:00:00,Hanoi,PM2.5 - Principal,2020,7,2,7,49.2,135,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
2020-07-02 08:00:00,Hanoi,PM2.5 - Principal,2020,7,2,8,49.1,134,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
2020-07-02 09:00:00,Hanoi,PM2.5 - Principal,2020,7,2,9,40.0,112,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
2020-07-02 10:00:00,Hanoi,PM2.5 - Principal,2020,7,2,10,32.5,94,Moderate,25.0,UG/M3,1 Hr,Valid
2020-07-02 11:00:00,Hanoi,PM2.5 - Principal,2020,7,2,11,29.2,87,Moderate,26.0,UG/M3,1 Hr,Valid
2020-07-02 12:00:00,Hanoi,PM2.5 - Principal,2020,7,2,12,26.1,80,Moderate,23.0,UG/M3,1 Hr,Valid
2020-07-02 13:00:00,Hanoi,PM2.5 - Principal,2020,7,2,13,30.5,90,Moderate,35.0,UG/M3,1 Hr,Valid
2020-07-02 14:00:00,Hanoi,PM2.5 - Principal,2020,7,2,14,30.2,89,Moderate,30.0,UG/M3,1 Hr,Valid
2020-07-02 15:00:00,Hanoi,PM2.5 - Principal,2020,7,2,15,29.6,88,Moderate,29.0,UG/M3,1 Hr,Valid
2020-07-02 16:00:00,Hanoi,PM2.5 - Principal,2020,7,2,16,28.3,85,Moderate,27.0,UG/M3,1 Hr,Valid
2020-07-02 17:00:00,Hanoi,PM2.5 - Principal,2020,7,2,17,26.1,80,Moderate,24.0,UG/M3,1 Hr,Valid
2020-07-02 18:00:00,Hanoi,PM2.5 - Principal,2020,7,2,18,24.0,76,Moderate,22.0,UG/M3,1 Hr,Valid
2020-07-02 19:00:00,Hanoi,PM2.5 - Principal,2020,7,2,19,21.0,70,Moderate,18.0,UG/M3,1 Hr,Valid
2020-07-02 20:00:00,Hanoi,PM2.5 - Principal,2020,7,2,20,23.5,75,Moderate,26.0,UG/M3,1 Hr,Valid
2020-07-02 21:00:00,Hanoi,PM2.5 - Principal,2020,7,2,21,23.7,75,Moderate,24.0,UG/M3,1 Hr,Valid
2020-07-02 22:00:00,Hanoi,PM2.5 - Principal,2020,7,2,22,27.7,84,Moderate,32.0,UG/M3,1 Hr,Valid
2020-07-02 23:00:00,Hanoi,PM2.5 - Principal,2020,7,2,23,26.9,82,Moderate,26.0,UG/M3,1 Hr,Valid
